,cluster_lat,cluster_lon,plot_slope,plot_elevation,year,NFI_period,age,age_class,dbh,dbh_class,ba,height,h/d,life_precip_spring,life_precip_summer,life_precip_winter,life_tmax_spring,life_tmax_summer,life_tmean_spring,life_tmean_summer,life_tmin_spring,life_tmin_summer,past_30_precip_spring,past_30_precip_summer,past_30_precip_winter,past_30_tmax_spring,past_30_tmax_summer,past_30_tmean_spring,past_30_tmean_summer,past_30_tmin_spring,past_30_tmin_summer,past_5_precip_spring,past_5_precip_summer,past_5_precip_winter,past_5_tmax_spring,past_5_tmax_summer,past_5_tmean_spring,past_5_tmean_summer,past_5_tmin_spring,past_5_tmin_summer,previous_year,time_interval,dbh_incr_y,%dbh_incr_y,ba_incr_y,%ba_incr_y,height_incr,%height_incr_y,%age_incr,%vol_incr_y,plot_n_ha,plot_spec_count,plot_ba_prop,x_utm,y_utm
ba,-0.09727469055811488,0.06748160998878228,-0.027713314063887762,0.10154186136618767,0.12203716893298101,0.11981872080942345,0.6428146331875925,0.6152008958772691,0.9649155339232404,0.9561734160664085,1.0,0.6691986321280762,-0.5707837812697898,0.11771759825793279,0.1449870034275532,0.11124826103047296,-0.0736528673856876,-0.12879567264090516,-0.07927734063961307,-0.11838962680220284,-0.08323849546633856,-0.11034214719969364,0.11141145785117249,0.1219643491736046,0.15276776646069753,-0.02937575414752964,-0.05702993126602449,-0.036573134424131716,-0.06181974591099395,-0.04256084899660978,-0.06393183461779035,0.04247493989909679,0.14929155054585186,0.10965570090549255,-0.013743921733534559,-0.08719301505060598,-0.0025388971584900423,-0.06700337552604259,0.007564633199134903,-0.03459635898825302,-0.01887019036440193,-0.06256792547744337,0.39574318383135704,-0.14630760957057806,0.7193322283912336,-0.14685766839766076,0.2526721994754528,-0.12523659191125522,-0.4454849694968319,-0.15698802455224792,-0.5715536779733058,0.20185584530322462,-0.019888697923123328,0.07728326118554368,-0.09562693179144725
height,-0.24476530352616144,-0.06844351110699136,0.002513932004763159,0.11170124963445992,0.0905754685883502,0.07754998468794662,0.5977403566423489,0.5868875319370236,0.7669372615313289,0.7716226623667757,0.6691986321280762,1.0,-0.08753454485672542,0.13911770278182514,0.14640810913909844,0.08053062757529833,-0.0293099057532523,-0.0570061116521417,-0.010566498514846322,-0.04536295302966988,0.008134286700337126,-0.03321415139018824,0.1766932833673159,0.12805825222900896,0.13599424455526335,0.023324715290444723,0.026103025165449184,0.03646987104420193,0.019963973250832923,0.049296531217875264,0.016769895172612112,0.085455663974636,0.15286700928567487,0.0639861936408935,-0.01971009535178337,-0.01561181907614607,0.022837903508522966,-0.014439103172201019,0.05871713579165021,0.014117274448778297,0.08996464948338243,-0.17162919430219573,0.30159391565669985,-0.19092444751301185,0.5126805958597577,-0.1964819786862047,0.2224124900799278,-0.2592914988115114,-0.44790167294987265,-0.23285863170567944,-0.6837892215890479,0.14355899643015163,-0.272274406876179,-0.062464511487529746,-0.2450511135739245
h/d,-0.028689131966235574,0.011527740255540642,-0.01912695344491938,-0.1695383995992212,0.050168988547214445,0.04905541177230454,-0.37669666712919436,-0.3749800516828062,-0.6159136338996207,-0.6077726376869117,-0.5707837812697898,-0.08753454485672542,1.0,-0.19695793289577176,-0.22067663931122916,-0.20807239515722162,0.24856966849795,0.29354352034659076,0.256211366763303,0.28716750733749924,0.26116335100288385,0.2867117831924224,-0.1617688619039039,-0.20960891132609863,-0.2121191528617033,0.24100796306972624,0.2732986611263674,0.24667794709625077,0.26958801008969274,0.2494679954611299,0.26627395704193535,-0.13320257281503156,-0.21250459571791933,-0.19419927076643495,0.20565457322284136,0.28154486720384964,0.2274894804943403,0.2713081347875584,0.22938558101884118,0.258636382842688,0.14568892708723608,-0.14220946898623998,-0.4786717941255967,0.019454476580368966,-0.6352506285575092,0.026462014254021688,-0.021765180448766516,0.22250779289916162,0.46880838235847466,0.11057682278865331,0.5509554727772685,-0.02962714215985913,-0.3586444298845613,0.006313904659517645,-0.029842555256394263
life_precip_spring,-0.688739943436796,-0.236103765340706,0.4739879047100711,0.826005435603756,-0.29012829525180656,-0.28581029030703986,0.2556113972901971,0.24980513119127679,0.1611651042125411,0.16411556130578064,0.11771759825793279,0.13911770278182514,-0.19695793289577176,1.0,0.940177722454615,0.8701385319065997,-0.6633046340624669,-0.6474706036668295,-0.6389379273079372,-0.6565256178990352,-0.6095150873256256,-0.6637765983947571,0.9877567279113452,0.9275105755954671,0.8656195852022618,-0.6455369523043656,-0.6188365658918106,-0.6295985073291247,-0.625858197056617,-0.6071720341680797,-0.6325278288053079,0.8749230424754624,0.8823217524014396,0.7761845774839837,-0.5960150495697283,-0.6053087957155352,-0.6030516321483333,-0.6130449610190519,-0.5631126410027638,-0.573775641678103,-0.0693321877463618,0.06102814638137381,-0.28174860332111473,-0.3596990008861253,-0.1640136862874323,-0.3524582630452646,-0.08255452628131814,-0.13421406376314018,-0.16207313257279113,-0.2689110547109279,-0.2380277658006,0.2873285753631772,0.10498626656517963,-0.22028785606940468,-0.6886564217815528
life_precip_summer,-0.595736720021578,-0.051199862758413234,0.4440756990650213,0.7772133273495783,-0.21077851852001336,-0.20679129501405158,0.3699263848196607,0.36907632796936096,0.18833963769712647,0.19143740008882504,0.1449870034275532,0.14640810913909844,-0.22067663931122916,0.940177722454615,1.0,0.7476148722707336,-0.6447649063568615,-0.6436512081460447,-0.6327974242989653,-0.646916992900078,-0.6155798822974291,-0.6489670435431785,0.9147511093428505,0.9962841410382246,0.7558076635146901,-0.6145456152303284,-0.605331690757038,-0.6116785040272086,-0.6114546804978234,-0.6023037400631158,-0.6169532787001323,0.7818758853564002,0.9700964032312099,0.6593664349472182,-0.5730185167703276,-0.6014186205869334,-0.5753820992997896,-0.5980194884815314,-0.5334285517904709,-0.5486189918819864,-0.07229180986899472,0.0809072175663838,-0.23785071104327407,-0.31641145693738865,-0.13526091596131515,-0.31005253891018836,-0.08422033932860183,-0.1395100576913694,-0.2291047084015799,-0.27499379234882065,-0.2526266197602177,0.2546753548262879,0.0677039605502439,-0.030996915423701688,-0.5941403133560509
life_precip_winter,-0.5111690138290431,-0.3732505501349312,0.43082133323962785,0.7323614313369029,-0.24883450859205422,-0.24818846776415152,0.15176524691020218,0.14709583833836623,0.14062850774325542,0.13810521064530565,0.11124826103047296,0.08053062757529833,-0.20807239515722162,0.8701385319065997,0.7476148722707336,1.0,-0.6906748631370786,-0.6813641703945112,-0.6594791614987642,-0.694261374880053,-0.6232357434187685,-0.7029930057123237,0.8535147044834197,0.7312197697135563,0.9938078267016792,-0.6792602070884087,-0.6568315843374731,-0.6523415111845118,-0.671307427578395,-0.6188363282333258,-0.6822917554718365,0.7711421256359302,0.7016479159602611,0.9096968900766284,-0.625841526802717,-0.654323022162618,-0.6201139616074544,-0.6695037191896029,-0.5675809009672478,-0.6440875439512024,-0.06658845055543804,0.015299397693045445,-0.25001546263334473,-0.3543768650120593,-0.13810316140734402,-0.34872415940491625,0.06365260491064403,-0.04247554029297433,-0.15934887215012952,-0.23071949185081128,-0.18389998365249985,0.1974655851901558,0.10651383350489715,-0.3635795614403956,-0.5129002343179316
life_tmax_spring,0.2859313336124213,0.12716399598327885,-0.3063540300783662,-0.8173012186304602,0.3468377818402025,0.34054270196365244,-0.16379797362459728,-0.1479277307727518,-0.11876605655609655,-0.11786385017303383,-0.0736528673856876,-0.0293099057532523,0.24856966849795,-0.6633046340624669,-0.6447649063568615,-0.6906748631370786,1.0,0.9912912308229807,0.9952286599061232,0.9927595219823023,0.9815969204534191,0.9907675070088872,-0.6258681961064395,-0.6426762670013542,-0.6853816462872784,0.9827866366556778,0.9779031058629903,0.9793850299036214,0.9837489460535388,0.9655898106489457,0.9864038947549538,-0.5823489489408,-0.5773724142683088,-0.6544599953749772,0.8754861629065239,0.9606336289173416,0.918930854433192,0.9720574621876361,0.8870098316152963,0.9530954237980547,0.20622275217310282,-0.20670489962049013,-0.15538268945200348,0.01104437144628985,-0.20015887545272823,0.018561610810641428,-0.05613743551829477,-0.023325273233303828,0.16104799801107403,0.06678738272362086,0.2079256951650472,-0.020929534599105893,-0.0592057217817532,0.11859690561329576,0.2871441248582043
life_tmax_summer,0.2646467520961267,0.13018261744232504,-0.31350188922512323,-0.802155322378069,0.3386662217719463,0.3317937161377844,-0.23250331169731608,-0.2176779559928238,-0.1718062842785106,-0.1717959491568922,-0.12879567264090516,-0.0570061116521417,0.29354352034659076,-0.6474706036668295,-0.6436512081460447,-0.6813641703945112,0.9912912308229807,1.0,0.9885806458532438,0.9985609890041159,0.9769743458162466,0.9939692286460299,-0.6034816296875315,-0.6393078542594985,-0.6806057914990394,0.9723661641434593,0.980202895142246,0.9725402134785225,0.9847264997370757,0.9622598885531733,0.9859719787876525,-0.5535132148977968,-0.5750609351707433,-0.6514914815496237,0.8506329698273214,0.9650681372990604,0.903150632367505,0.9733286628299076,0.8804612381727799,0.9520646984625872,0.2503975636843087,-0.24526958808471402,-0.1608645792059159,0.030725601962168645,-0.22641538629366229,0.03701702263027575,-0.06926320371369321,-0.013510989044598656,0.2031415074683949,0.07750839689646281,0.23698431516982324,-0.009360200713825428,-0.07132276910984015,0.11918574732641096,0.26618874851749025
life_tmean_spring,0.24610409910808315,0.050547259311942115,-0.28706280404420864,-0.8027757455570723,0.33597382096720835,0.3273165027395191,-0.1686494471974344,-0.15340495256514444,-0.1176780985096465,-0.11747806204683253,-0.07927734063961307,-0.010566498514846322,0.256211366763303,-0.6389379273079372,-0.6327974242989653,-0.6594791614987642,0.9952286599061232,0.9885806458532438,1.0,0.9894884296860785,0.9955406579883526,0.9875541194728599,-0.5968623510667109,-0.6324411662711105,-0.653184476158055,0.978809204171693,0.977992150518324,0.9840214706399462,0.983290038805258,0.978569660837482,0.9859390841533194,-0.5537843264534513,-0.5682081633504812,-0.6339336133975573,0.8577938219741847,0.9567358948261385,0.913832614312645,0.9654849176991604,0.8934394642145382,0.9486917300992405,0.23406022471157042,-0.23402505283316488,-0.1645854886582721,-0.005937415839297251,-0.2107825503165917,0.0007220633890396666,-0.08109758340382747,-0.05276725339067652,0.14859295276296164,0.04608654877736604,0.19716539565684132,0.013972843086307939,-0.07000360070642737,0.04208331655209583,0.24660773550765058
life_tmean_summer,0.28150297021148263,0.13881910587325064,-0.31789155026130683,-0.8163433587197602,0.3249891832664284,0.31794662392688405,-0.21824906890563542,-0.20282462882845795,-0.1597512643592718,-0.15979944005199653,-0.11838962680220284,-0.04536295302966988,0.28716750733749924,-0.6565256178990352,-0.646916992900078,-0.694261374880053,0.9927595219823023,0.9985609890041159,0.9894884296860785,1.0,0.9773167066538849,0.9981759045221243,-0.6129221189912577,-0.6423374334732346,-0.6914164898531316,0.9741877686885134,0.97943919512671,0.9737342892031654,0.9861043916829556,0.9628307827871336,0.989706396862252,-0.5601487904364487,-0.5800149259987748,-0.6573944442199577,0.8509546019365154,0.9639971886545949,0.9014029475502967,0.9735426997222002,0.8770173289636182,0.9520854301796705,0.237303312565817,-0.23130725329005603,-0.1546117037000766,0.02919809508357526,-0.21662977019664967,0.036074707960013316,-0.08034185767664316,-0.030788251442645503,0.1904832423475868,0.07051789641604048,0.22307695071714176,-0.012594407977419153,-0.07332092109657923,0.12794598972278182,0.282943231169611
